protocol,replicate,model,true,predicted,pair,venue,camera,lighting,slot_id,file,near_duplicate_in_train
grouped_slot,grouped_slot_id_seed42,convnextv2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t001633.jpg,False
grouped_slot,grouped_slot_id_seed42,convnextv2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t001663.jpg,False
grouped_slot,grouped_slot_id_seed42,convnextv2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t002322.jpg,False
grouped_slot,grouped_slot_id_seed42,convnextv2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t002861.jpg,False
grouped_slot,grouped_slot_id_seed42,convnextv2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002368.jpg,False
grouped_slot,grouped_slot_id_seed42,convnextv2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002383.jpg,False
grouped_slot,grouped_slot_id_seed42,convnextv2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002398.jpg,False
grouped_slot,grouped_slot_id_seed42,convnextv2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002413.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t000074.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t001633.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t001663.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t002322.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t002861.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002368.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002383.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002413.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t000340_m.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t002218.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C2,C1,C2->C1,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t002353.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C2,C1,C2->C1,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t002473.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t002801_m.jpg,False
grouped_slot,grouped_slot_id_seed42,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t003412_m.jpg,False
grouped_slot,grouped_slot_id_seed42,vit,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t000074.jpg,False
grouped_slot,grouped_slot_id_seed42,vit,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t001633.jpg,False
grouped_slot,grouped_slot_id_seed42,vit,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t001663.jpg,False
grouped_slot,grouped_slot_id_seed42,vit,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t002322.jpg,False
grouped_slot,grouped_slot_id_seed42,vit,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t002861.jpg,False
grouped_slot,grouped_slot_id_seed42,vit,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002368.jpg,False
grouped_slot,grouped_slot_id_seed42,vit,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002383.jpg,False
grouped_slot,grouped_slot_id_seed42,vit,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002398.jpg,False
grouped_slot,grouped_slot_id_seed42,vit,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002413.jpg,False
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,convnextv2,C2,C3,C2->C3,clipvenue_a_blue_barrier,ca_1788518270455,night,clipvenue_a_blue_barrier__clip_1788518270455,2_playing/clip_ca_1788518270455_t001266.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,convnextv2,C2,C3,C2->C3,clipvenue_a_blue_barrier,ca_1788518270455,night,clipvenue_a_blue_barrier__clip_1788518270455,2_playing/clip_ca_1788518270455_t007333.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,convnextv2,C2,C3,C2->C3,clipvenue_a_blue_barrier,ca_1788518270455,night,clipvenue_a_blue_barrier__clip_1788518270455,2_playing/clip_ca_1788518270455_t009366.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,convnextv2,C2,C3,C2->C3,clipvenue_a_blue_barrier,ca_1788518332036,night,clipvenue_a_blue_barrier__clip_1788518332036,2_playing/clip_ca_1788518332036_t003433.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,convnextv2,C2,C3,C2->C3,clipvenue_a_blue_barrier,ca_1788518332036,night,clipvenue_a_blue_barrier__clip_1788518332036,2_playing/clip_ca_1788518332036_t005566.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,convnextv2,C2,C3,C2->C3,clipvenue_a_blue_barrier,ca_1788518343632,night,clipvenue_a_blue_barrier__clip_1788518343632,2_playing/clip_ca_1788518343632_t007266.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,convnextv2,C2,C3,C2->C3,clipvenue_a_blue_barrier,ca_1788518349117,night,clipvenue_a_blue_barrier__clip_1788518349117,2_playing/clip_ca_1788518349117_t001233.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,convnextv2,C2,C3,C2->C3,clipvenue_a_blue_barrier,ca_1788518356572,night,clipvenue_a_blue_barrier__clip_1788518356572,2_playing/clip_ca_1788518356572_t001200.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,convnextv2,C2,C3,C2->C3,clipvenue_a_blue_barrier,ca_1788518356572,night,clipvenue_a_blue_barrier__clip_1788518356572,2_playing/clip_ca_1788518356572_t003133.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,convnextv2,C2,C3,C2->C3,clipvenue_a_blue_barrier,ca_1788518356572,night,clipvenue_a_blue_barrier__clip_1788518356572,2_playing/clip_ca_1788518356572_t007000.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,convnextv2,C2,C3,C2->C3,clipvenue_a_blue_barrier,ca_1788518356572,night,clipvenue_a_blue_barrier__clip_1788518356572,2_playing/clip_ca_1788518356572_t008933.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,dinov2,C2,C1,C2->C1,clipvenue_a_blue_barrier,ca_1788518284135,night,clipvenue_a_blue_barrier__clip_1788518284135,2_playing/clip_ca_1788518284135_t007000.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,dinov2,C2,C1,C2->C1,clipvenue_a_blue_barrier,ca_1788518302270,night,clipvenue_a_blue_barrier__clip_1788518302270,2_playing/clip_ca_1788518302270_t003533.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,dinov2,C2,C1,C2->C1,clipvenue_a_blue_barrier,ca_1788518302270,night,clipvenue_a_blue_barrier__clip_1788518302270,2_playing/clip_ca_1788518302270_t012266.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,dinov2,C2,C1,C2->C1,clipvenue_a_blue_barrier,ca_1788518338406,night,clipvenue_a_blue_barrier__clip_1788518338406,2_playing/clip_ca_1788518338406_t001333.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,dinov2,C2,C1,C2->C1,clipvenue_a_blue_barrier,ca_1788518349117,night,clipvenue_a_blue_barrier__clip_1788518349117,2_playing/clip_ca_1788518349117_t001233.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,dinov2,C2,C1,C2->C1,clipvenue_a_blue_barrier,ca_1788518349117,night,clipvenue_a_blue_barrier__clip_1788518349117,2_playing/clip_ca_1788518349117_t003200.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,dinov2,C2,C1,C2->C1,clipvenue_a_blue_barrier,ca_1788518349117,night,clipvenue_a_blue_barrier__clip_1788518349117,2_playing/clip_ca_1788518349117_t007166.jpg,
lo_venue_out,lo_venue_out__clipvenue_a_blue_barrier,dinov2,C2,C1,C2->C1,clipvenue_a_blue_barrier,ca_1788518349117,night,clipvenue_a_blue_barrier__clip_1788518349117,2_playing/clip_ca_1788518349117_t009166.jpg,
lo_venue_out,lo_venue_out__clipvenue_f_outdoor_bldg,convnextv2,C2,C3,C2->C3,clipvenue_f_outdoor_bldg,cf_1788517934401,day,clipvenue_f_outdoor_bldg__clip_1788517934401,2_playing/clip_cf_1788517934401_t001000.jpg,
lo_venue_out,lo_venue_out__clipvenue_f_outdoor_bldg,convnextv2,C2,C3,C2->C3,clipvenue_f_outdoor_bldg,cf_1788517934401,day,clipvenue_f_outdoor_bldg__clip_1788517934401,2_playing/clip_cf_1788517934401_t009233.jpg,
lo_venue_out,lo_venue_out__clipvenue_f_outdoor_bldg,convnextv2,C2,C3,C2->C3,clipvenue_f_outdoor_bldg,cf_1788518024202,day,clipvenue_f_outdoor_bldg__clip_1788518024202,2_playing/clip_cf_1788518024202_t001000.jpg,
lo_venue_out,lo_venue_out__clipvenue_f_outdoor_bldg,vit,C2,C1,C2->C1,clipvenue_f_outdoor_bldg,cf_1788517934401,day,clipvenue_f_outdoor_bldg__clip_1788517934401,2_playing/clip_cf_1788517934401_t001000.jpg,
lo_venue_out,lo_venue_out__clipvenue_f_outdoor_bldg,vit,C2,C1,C2->C1,clipvenue_f_outdoor_bldg,cf_1788517934401,day,clipvenue_f_outdoor_bldg__clip_1788517934401,2_playing/clip_cf_1788517934401_t002666.jpg,
lo_venue_out,lo_venue_out__clipvenue_f_outdoor_bldg,vit,C2,C1,C2->C1,clipvenue_f_outdoor_bldg,cf_1788518024202,day,clipvenue_f_outdoor_bldg__clip_1788518024202,2_playing/clip_cf_1788518024202_t005933.jpg,
lo_venue_out,lo_venue_out__clipvenue_f_outdoor_bldg,vit,C2,C1,C2->C1,clipvenue_f_outdoor_bldg,cf_1788518024202,day,clipvenue_f_outdoor_bldg__clip_1788518024202,2_playing/clip_cf_1788518024202_t007566.jpg,
lo_venue_out,lo_venue_out__clipvenue_f_outdoor_bldg,vit,C2,C1,C2->C1,clipvenue_f_outdoor_bldg,cf_1788518024202,day,clipvenue_f_outdoor_bldg__clip_1788518024202,2_playing/clip_cf_1788518024202_t009200.jpg,
lo_venue_out,lo_venue_out__clipvenue_g_netting,convnextv2,C2,C3,C2->C3,clipvenue_g_netting,cg_1788518155619,day,clipvenue_g_netting__clip_1788518155619,2_playing/clip_cg_1788518155619_t005100.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,convnextv2,C2,C1,C2->C1,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t001333.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,convnextv2,C2,C1,C2->C1,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t005633.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,convnextv2,C2,C1,C2->C1,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t007800.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,convnextv2,C2,C1,C2->C1,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t009933.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,convnextv2,C2,C1,C2->C1,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t012100.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,dinov2,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t001333.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,dinov2,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t003500.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,dinov2,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t005633.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,dinov2,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t007800.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,dinov2,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t009933.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,dinov2,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t012100.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,vit,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518036387,day,clipvenue_h_teal_pitch__clip_1788518036387,2_playing/clip_ch_1788518036387_t011566.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,vit,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518070457,day,clipvenue_h_teal_pitch__clip_1788518070457,2_playing/clip_ch_1788518070457_t001300.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,vit,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518070457,day,clipvenue_h_teal_pitch__clip_1788518070457,2_playing/clip_ch_1788518070457_t003433.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,vit,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t001333.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,vit,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t003500.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,vit,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t005633.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,vit,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t007800.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,vit,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t009933.jpg,
lo_venue_out,lo_venue_out__clipvenue_h_teal_pitch,vit,C2,C3,C2->C3,clipvenue_h_teal_pitch,ch_1788518162577,day,clipvenue_h_teal_pitch__clip_1788518162577,2_playing/clip_ch_1788518162577_t012100.jpg,
lo_venue_out,lo_venue_out__clipvenue_i_outdoor_trees,dinov2,C2,C1,C2->C1,clipvenue_i_outdoor_trees,ci_1788517881838,day,clipvenue_i_outdoor_trees__clip_1788517881838,2_playing/clip_ci_1788517881838_t005066.jpg,
lo_venue_out,lo_venue_out__clipvenue_i_outdoor_trees,dinov2,C2,C1,C2->C1,clipvenue_i_outdoor_trees,ci_1788517913957,day,clipvenue_i_outdoor_trees__clip_1788517913957,2_playing/clip_ci_1788517913957_t011400.jpg,
temporal,temporal_2026-07-12,convnextv2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t000074.jpg,
temporal,temporal_2026-07-12,convnextv2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t001633.jpg,
temporal,temporal_2026-07-12,convnextv2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t001663.jpg,
temporal,temporal_2026-07-12,convnextv2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t002322.jpg,
temporal,temporal_2026-07-12,convnextv2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t002861.jpg,
temporal,temporal_2026-07-12,convnextv2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002368.jpg,
temporal,temporal_2026-07-12,convnextv2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002383.jpg,
temporal,temporal_2026-07-12,convnextv2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002398.jpg,
temporal,temporal_2026-07-12,convnextv2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002413.jpg,
temporal,temporal_2026-07-12,convnextv2,C2,C1,C2->C1,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t000340_m.jpg,
temporal,temporal_2026-07-12,convnextv2,C2,C1,C2->C1,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t002698.jpg,
temporal,temporal_2026-07-12,dinov2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t000074.jpg,
temporal,temporal_2026-07-12,dinov2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t001633.jpg,
temporal,temporal_2026-07-12,dinov2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t001663.jpg,
temporal,temporal_2026-07-12,dinov2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t002322.jpg,
temporal,temporal_2026-07-12,dinov2,C1,C2,C1->C2,venue_01,camera_B,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camA_t002861.jpg,
temporal,temporal_2026-07-12,dinov2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002368.jpg,
temporal,temporal_2026-07-12,dinov2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002383.jpg,
temporal,temporal_2026-07-12,dinov2,C1,C2,C1->C2,venue_01,camera_A,night,venue_01_2026-07-12_2030,1_empty/slot_20260712_2030_camB_t002413.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t000163_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t000194.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t000340_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t000719.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t000749.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t000784_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t000790_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001034.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001064.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001079.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001284_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001331_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001363.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001376_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001419_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001480_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001555_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001558.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001588.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001648.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001683_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001704_m.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001708.jpg,
temporal,temporal_2026-07-12,dinov2,C2,C3,C2->C3,venue_01,camera_A,night,venue_01_2026-07-12_2030,2_playing/slot_20260712_2030_camB_t001850_m.jpg,
